# v37: task 41 — the owner-authorized q5 tier trade. q5 rides the
# two-pass fragment tier (q1's algorithm) at memory speed: the whole
# q5 column lands I 0.12-0.43 (was 2.1-2.5; no per-position tier
# crossed 1.3 — task 40's measurements). COST: q5 output is now
# byte-equal to q1 (S 1.15-1.70 vs the greedy's 0.80-1.01); q5 no
# longer smaller than q4. BROTLI_NO_TP_Q5 restores. Small-file T via
# the loop canon both sides. q4 keeps greedy (slower AND smaller than
# q5 now — ladder note in task 41).
# Cells >1.3: 41 -> 31; median recomputed below.
# Columns: file codec lvl T(x) S(x) I size ours/ref [bad]
file           codec   lvl    T(x)   S(x)        I  size ours/ref
install.log     brotli   1   1.14x     1.0   1.1  23493/23493
words.txt       brotli  11  1.18xx   1.003   1.2  652066/649943
plists.json       zstd   6   1.12x    1.03   1.2  140659/136576
csv2m.bin       brotli   9   1.47x   0.797   1.2  204167/256273
fits4m.bin      brotli   1   1.22x     1.0   1.2  3797978/3797977
icons.svg       brotli   1   1.18x     1.0   1.2  43610/43609
dbdump.txt      brotli   1   1.24x   0.997   1.2  90955/91210
sqlite.db       brotli   1   1.24x     1.0   1.2  70958/70958
noto-otf.bin    brotli   1   1.16x     1.0   1.2  104226/104227
csv2m.bin       brotli  11  1.61xx   0.789  1.27  119038/149577
noto-otf.bin    brotli   9    1.3x   1.029   1.3  88873/86404 bad
plists.json     brotli  11    1.3x   1.024   1.3  107235/104745
icons.svg       brotli   9    1.3x   1.035   1.3  32411/31329
rustsrc.txt       zstd  19    1.3x   1.002   1.3  388345/387563
plists.json     brotli   1    1.3x   0.995   1.3  165864/166739
plists.json     brotli   9   1.24x   1.068   1.3  132934/124455
rustsrc.txt     brotli  11  1.32xx   1.010   1.3  377440/373844
install.log     brotli   9   1.41x   1.016   1.4  16956/16688
sqlite.db         zstd  19   1.44x     1.0   1.4  52613/52626
fits4m.bin        zstd  19    1.4x   0.996   1.4  1957692/1966084
words.txt         zstd   6    1.4x   1.004   1.4  770459/767497
dbdump.txt      brotli   9    1.4x   1.023   1.4  68134/66596
plists.json       zstd  19    1.4x   1.003   1.4  121957/121542
install.log       zstd  19    1.4x   0.994   1.4  15972/16068
csv2m.bin       brotli   1    1.4x     1.0   1.4  424644/424510
words.txt       brotli   1   1.37x   0.997   1.4  876360/878851
rustsrc.txt     brotli   1   1.46x   0.987   1.4  559823/567123
sqlite.db       brotli   5   1.51x   0.994   1.5  54459/54782
rustsrc.txt       zstd   6   1.52x   1.009   1.5  448258/444132
plists.json       zstd   1    1.5x   0.987   1.5  154392/156468 bad
icons.svg         zstd  19    1.5x     1.0   1.5  28443/28440
words.txt       brotli   9  1.53xx    0.99   1.5  742445/749779
noto-otf.bin    brotli   5   1.59x   1.021   1.6  89978/88166
csv2m.bin         zstd   6   1.61x   0.972   1.6  315839/324867
noto-otf.bin      zstd  19   1.73x   1.003   1.7  86520/86300
rustsrc.txt     brotli   9   1.65x    1.04   1.7  429875/413259
rfc.txt         brotli   5   1.85x   1.012   1.9  7700/7609
words.txt         zstd  19   1.95x     1.0   1.9  661976/661927
rfc.txt         brotli  11   1.99x   1.014   2.0  6637/6548
csv2m.bin         zstd   1   1.98x   0.996   2.0  335889/337329 bad
noto-otf.bin    brotli  11   2.01x   1.005   2.0  79717/79338
sqlite.db       brotli   9    2.0x   0.994   2.0  53320/53658
rfc.txt         brotli   9   1.96x   1.016   2.0  7691/7568
plists.json     brotli   5   2.09x   1.014   2.1  130259/128457
csv2m.bin         zstd  19   2.43x   0.925   2.2  152843/165209
install.log     brotli   5   2.35x    0.99   2.3  17036/17210
icons.svg       brotli   5   2.35x   0.997   2.3  32905/33000
dbdump.txt        zstd  19   2.33x   1.002   2.3  62911/62789
sqlite.db       brotli  11   2.46x   0.987   2.4  40753/41300 bad
fits4m.bin        zstd   1    2.4x   0.994   2.4  3576462/3596632 bad
rustsrc.txt       zstd   1   2.64x   1.003   2.6  562973/561447 bad
fits4m.bin        zstd   6    2.6x   1.044   2.7  2877070/2756233 bad
words.txt         zstd   1   3.65x   1.002   3.7  891731/889781 bad
